,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address
2610,8368,Xeno Token,XNO,xeno-token,2,2021-02-02T00:00:00.000Z,['collectibles-nfts'],,0.0,0.0,,2611,2021-07-21T00:41:03.000Z,0.05963606880929,4470127.28929243,-0.5342657,-6.33501772,-19.14983678,-38.83850541,-62.23119391,-77.90419948,0.0,2021-07-21T00:41:03.000Z,1027.0,Ethereum,ETH,ethereum,0x05bbe7240de66f6480c9aeda77c1376b13393f83
2611,8854,FXT Token,FXT,fxt-token,3,2021-03-17T00:00:00.000Z,[],1000000000.0,0.0,0.0,,2612,2021-07-21T00:41:06.000Z,0.00940346237777,4402311.72530961,-3.07715919,3.66583779,-24.68965435,410.45841051,-88.61475233,-91.21543462,0.0,2021-07-21T00:41:06.000Z,1027.0,Ethereum,ETH,ethereum,0xf83bf320a4a3f4bf365c3114b6f19fc3f6b1228c
2612,5181,BiLira,TRYB,bilira,6,2020-01-28T00:00:00.000Z,"['stablecoin', 'avalanche-ecosystem']",,0.0,0.0,,2613,2021-07-21T00:40:12.000Z,0.11556,4369736.615618,0.08661008,-0.30195842,1.85455304,1.61800915,-3.37506797,-9.09665543,0.0,2021-07-21T00:40:12.000Z,1027.0,Ethereum,ETH,ethereum,0x2c537e5624e4af88a7ae4060c022609376c8d0eb
2613,9386,Kishu Inu,KISHU,kishu-inu,17,2021-04-20T00:00:00.000Z,"['memes', 'doggone-doggerel']",1e+17,0.0,1e+17,,2614,2021-07-21T00:40:13.000Z,6.0191e-10,4034588.02312538,-0.44369928,-15.59284272,-35.32814319,-70.97996545,-93.33750148,-12.2161625,0.0,2021-07-21T00:40:13.000Z,1027.0,Ethereum,ETH,ethereum,0xA2b4C0Af19cC16a6CfAcCe81F192B024d625817D
2614,10841,Wolf Safe Poor People,WSPP,wolf-safe-poor-people,4,2021-07-11T00:00:00.000Z,[],2.07393185351124e+16,0.0,2.07393185351124e+16,,2615,2021-07-21T00:40:13.000Z,0.00029537419319,3991241.14577961,2.53551728,1661.96169556,269354444.214726,0.0,0.0,0.0,0.0,2021-07-21T00:40:13.000Z,1839.0,Binance Smart Chain,BNB,binance-coin,0x46d502fac9aea7c5bc7b13c8ec9d02378c33d36f
2615,7404,Value Liquidity,VALUE,value-defi,26,2020-10-14T00:00:00.000Z,"['defi', 'yield-farming', 'yield-aggregator']",6626401.0,0.0,0.0,,2616,2021-07-21T00:40:20.000Z,1.25348122927957,3875738.23961599,1.46062169,-5.11903158,-19.31070244,-43.07283766,-25.40802652,-75.25615726,0.0,2021-07-21T00:40:20.000Z,1027.0,Ethereum,ETH,ethereum,0x49e833337ece7afe375e44f4e3e8481029218e5c
2616,4820,ALP Coin,ALP,alp-coin,1,2019-10-22T00:00:00.000Z,[],,0.0,100000000.0,,2617,2021-07-21T00:41:06.000Z,0.65581933468926,3872412.9184781,-1.10568281,-7.32692898,-13.78576571,-22.51648335,-18.7646694,-51.39827006,0.0,2021-07-21T00:41:06.000Z,1027.0,Ethereum,ETH,ethereum,0x37d6e7f287200c740012747d2a79295caed2db35
2617,5126,Soda Coin,SOC,soda-coin,3,2020-02-11T00:00:00.000Z,[],,0.0,2000000000.0,,2618,2021-07-21T00:41:02.000Z,0.00804787372093,3850816.20641751,-0.81572091,1.17577234,-6.19691458,-0.18950641,-1.97475863,-21.72499394,0.0,2021-07-21T00:41:02.000Z,1027.0,Ethereum,ETH,ethereum,0xcaD49C39B72c37B32cEe8b14F33F316D3a8bC335
2618,7881,sKLAY,SKLAY,sklay,2,2020-12-07T00:00:00.000Z,[],10000000000.0,0.0,0.0,,2619,2021-07-21T00:41:06.000Z,0.91311573201726,3784677.27348561,-0.32344074,-4.31004503,-4.27270694,-11.68631537,-43.05629172,-63.66311649,0.0,2021-07-21T00:41:06.000Z,,,,,
2619,9047,CARD.STARTER,CARDS,card-starter,4,2021-03-31T00:00:00.000Z,['launchpad'],,0.0,0.0,,2620,2021-07-21T00:40:29.000Z,10.25061289641589,3773774.61957328,-0.42573811,-6.91897319,-26.61059165,-38.11872773,-85.89750244,-70.98379871,0.0,2021-07-21T00:40:29.000Z,1027.0,Ethereum,ETH,ethereum,0x3d6f0dea3ac3c607b3998e6ce14b6350721752d9
